n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,fold,threshold,accuracy,precision,recall,f1,mcc
10,entropy,10,2,2,1,0.2,0.7833333333333333,0.4,0.8888888888888888,0.5517241379310345,0.49507377148833714
10,entropy,10,2,2,1,0.30000000000000004,0.9166666666666666,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6379053716127601
10,entropy,10,2,2,1,0.4,0.9,0.8,0.4444444444444444,0.5714285714285714,0.5488604301969738
10,entropy,10,2,2,1,0.5,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,2,1,0.6,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,2,1,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,2,1,0.8,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,2,1,0.9,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,2,2,0.1,0.5666666666666667,0.24242424242424243,0.8888888888888888,0.38095238095238093,0.28615800206850767
10,entropy,10,2,2,2,0.2,0.7666666666666667,0.38095238095238093,0.8888888888888888,0.5333333333333333,0.47461853595758285
10,entropy,10,2,2,2,0.30000000000000004,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
10,entropy,10,2,2,2,0.4,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
10,entropy,10,2,2,2,0.5,0.8166666666666667,0.25,0.1111111111111111,0.15384615384615385,0.07484811885651198
10,entropy,10,2,2,2,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
10,entropy,10,2,2,2,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,2,2,0.8,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,2,2,0.9,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,2,3,0.1,0.5166666666666667,0.2222222222222222,0.8888888888888888,0.35555555555555557,0.24772017853917946
10,entropy,10,2,2,3,0.2,0.75,0.35,0.7777777777777778,0.4827586206896552,0.3960590171906697
10,entropy,10,2,2,3,0.30000000000000004,0.8333333333333334,0.45454545454545453,0.5555555555555556,0.5,0.4041060310241455
10,entropy,10,2,2,3,0.4,0.8,0.2857142857142857,0.2222222222222222,0.25,0.13812794737179585
10,entropy,10,2,2,3,0.5,0.8333333333333334,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.11779030380392652
10,entropy,10,2,2,3,0.6,0.8166666666666667,0.0,0.0,0.0,-0.07800764512385157
10,entropy,10,2,2,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,2,3,0.8,0.85,1.0,0.0,0.0,0.0
