learning_rate,max_depth,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
0.01,3,300,4,0.2,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
0.01,3,300,4,0.30000000000000004,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
0.01,3,300,4,0.4,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
0.01,3,300,4,0.5,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
0.01,3,300,4,0.6,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,3,300,4,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,3,300,4,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,300,4,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,300,5,0.1,0.864406779661017,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.5706040662066904
0.01,3,300,5,0.2,0.8983050847457628,0.7142857142857143,0.5555555555555556,0.625,0.573232804884585
0.01,3,300,5,0.30000000000000004,0.9152542372881356,1.0,0.4444444444444444,0.6153846153846154,0.6356417261637282
0.01,3,300,5,0.4,0.8813559322033898,1.0,0.2222222222222222,0.36363636363636365,0.44151078568834795
0.01,3,300,5,0.5,0.864406779661017,1.0,0.1111111111111111,0.2,0.30949223029508643
0.01,3,300,5,0.6,0.864406779661017,1.0,0.1111111111111111,0.2,0.30949223029508643
0.01,3,300,5,0.7000000000000001,0.847457627118644,1.0,0.0,0.0,0.0
0.01,3,300,5,0.8,0.847457627118644,1.0,0.0,0.0,0.0
0.01,3,300,5,0.9,0.847457627118644,1.0,0.0,0.0,0.0
0.01,5,50,1,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.01,5,50,1,0.2,0.8833333333333333,0.625,0.5555555555555556,0.5882352941176471,0.5217732845620352
0.01,5,50,1,0.30000000000000004,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.01,5,50,1,0.4,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.01,5,50,1,0.5,0.85,1.0,0.0,0.0,0.0
0.01,5,50,1,0.6,0.85,1.0,0.0,0.0,0.0
0.01,5,50,1,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,50,1,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,50,1,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,50,2,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.01,5,50,2,0.2,0.75,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3361227822436774
0.01,5,50,2,0.30000000000000004,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
0.01,5,50,2,0.4,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.01,5,50,2,0.5,0.85,1.0,0.0,0.0,0.0
0.01,5,50,2,0.6,0.85,1.0,0.0,0.0,0.0
0.01,5,50,2,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,50,2,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,50,2,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,50,3,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.01,5,50,3,0.2,0.8166666666666667,0.4,0.4444444444444444,0.42105263157894735,0.31311214554257477
0.01,5,50,3,0.30000000000000004,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
0.01,5,50,3,0.4,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,5,50,3,0.5,0.85,1.0,0.0,0.0,0.0
0.01,5,50,3,0.6,0.85,1.0,0.0,0.0,0.0
0.01,5,50,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,50,3,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,50,3,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,50,4,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.01,5,50,4,0.2,0.85,0.5,0.6666666666666666,0.5714285714285714,0.4900980294098034
0.01,5,50,4,0.30000000000000004,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.01,5,50,4,0.4,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,5,50,4,0.5,0.85,1.0,0.0,0.0,0.0
0.01,5,50,4,0.6,0.85,1.0,0.0,0.0,0.0
0.01,5,50,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,50,4,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,50,4,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,50,5,0.1,0.15254237288135594,0.15254237288135594,1.0,0.2647058823529412,0.0
0.01,5,50,5,0.2,0.864406779661017,0.5454545454545454,0.6666666666666666,0.6,0.5231388366621641
0.01,5,50,5,0.30000000000000004,0.8983050847457628,1.0,0.3333333333333333,0.5,0.5455447255899809
0.01,5,50,5,0.4,0.864406779661017,1.0,0.1111111111111111,0.2,0.30949223029508643
0.01,5,50,5,0.5,0.847457627118644,1.0,0.0,0.0,0.0
0.01,5,50,5,0.6,0.847457627118644,1.0,0.0,0.0,0.0
0.01,5,50,5,0.7000000000000001,0.847457627118644,1.0,0.0,0.0,0.0
0.01,5,50,5,0.8,0.847457627118644,1.0,0.0,0.0,0.0
0.01,5,50,5,0.9,0.847457627118644,1.0,0.0,0.0,0.0
0.01,5,100,1,0.1,0.6166666666666667,0.28125,1.0,0.43902439024390244,0.39295262399668784
0.01,5,100,1,0.2,0.85,0.5,0.4444444444444444,0.47058823529411764,0.3844645254667628
0.01,5,100,1,0.30000000000000004,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5,0.42892362604926076
0.01,5,100,1,0.4,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.01,5,100,1,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,5,100,1,0.6,0.85,1.0,0.0,0.0,0.0
0.01,5,100,1,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,100,1,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,100,1,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,100,2,0.1,0.45,0.2,0.8888888888888888,0.32653061224489793,0.19802950859533486
0.01,5,100,2,0.2,0.7833333333333333,0.375,0.6666666666666666,0.48,0.3799802978286742
0.01,5,100,2,0.30000000000000004,0.8833333333333333,0.6,0.6666666666666666,0.631578947368421,0.5636018619766345
0.01,5,100,2,0.4,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.01,5,100,2,0.5,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
0.01,5,100,2,0.6,0.85,1.0,0.0,0.0,0.0
0.01,5,100,2,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,100,2,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,100,2,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,100,3,0.1,0.6666666666666666,0.28,0.7777777777777778,0.4117647058823529,0.3076976944152481
0.01,5,100,3,0.2,0.85,0.5,0.4444444444444444,0.47058823529411764,0.3844645254667628
