dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__criterion,dt__max_features,fold,accuracy,precision,recall,f1,mcc
30,5,5,entropy,,3,0.896551724137931,0.6,1.0,0.75,0.7256242913828739
30,5,5,entropy,,4,0.9824561403508771,0.9,1.0,0.9473684210526315,0.9387491677759293
30,5,5,entropy,,5,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
30,5,5,entropy,sqrt,1,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
30,5,5,entropy,sqrt,2,0.8620689655172413,0.6,0.3333333333333333,0.42857142857142855,0.37735271462657
30,5,5,entropy,sqrt,3,0.7413793103448276,0.3125,0.5555555555555556,0.4,0.26819391779125495
30,5,5,entropy,sqrt,4,0.8771929824561403,0.6,0.6666666666666666,0.631578947368421,0.5592548233558728
30,5,5,entropy,sqrt,5,0.8947368421052632,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6041666666666666
30,5,5,entropy,log2,1,0.8448275862068966,0.5,0.5555555555555556,0.5263157894736842,0.4347004424644175
30,5,5,entropy,log2,2,0.7586206896551724,0.3684210526315789,0.7777777777777778,0.5,0.4110924148026229
30,5,5,entropy,log2,3,0.8448275862068966,0.5,0.1111111111111111,0.18181818181818182,0.1799830823853463
30,5,5,entropy,log2,4,0.6491228070175439,0.3103448275862069,1.0,0.47368421052631576,0.42548147169838163
30,5,5,entropy,log2,5,0.8421052631578947,0.5,0.6666666666666666,0.5714285714285714,0.4844813951249544
30,10,2,gini,,1,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
30,10,2,gini,,2,0.9827586206896551,1.0,0.8888888888888888,0.9411764705882353,0.9333333333333333
30,10,2,gini,,3,0.896551724137931,0.6,1.0,0.75,0.7256242913828739
30,10,2,gini,,4,1.0,1.0,1.0,1.0,1.0
30,10,2,gini,,5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
30,10,2,gini,sqrt,1,0.8793103448275862,0.625,0.5555555555555556,0.5882352941176471,0.5190476190476191
30,10,2,gini,sqrt,2,0.9137931034482759,0.7,0.7777777777777778,0.7368421052631579,0.6868266990937797
30,10,2,gini,sqrt,3,0.8103448275862069,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.4259349952705581
30,10,2,gini,sqrt,4,0.8421052631578947,0.5,0.7777777777777778,0.6086956521739131,0.5353311660685758
30,10,2,gini,sqrt,5,0.8771929824561403,0.75,0.3333333333333333,0.46153846153846156,0.44609151696645605
30,10,2,gini,log2,1,0.896551724137931,0.7142857142857143,0.5555555555555556,0.625,0.5721006673984126
30,10,2,gini,log2,2,0.8620689655172413,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.6168743975838902
30,10,2,gini,log2,3,0.8793103448275862,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.47986979066128105
30,10,2,gini,log2,4,0.7192982456140351,0.29411764705882354,0.5555555555555556,0.38461538461538464,0.24354409352352624
30,10,2,gini,log2,5,0.8947368421052632,1.0,0.3333333333333333,0.5,0.5443310539518174
30,10,2,entropy,,1,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
