pca__n_components,max_depth,learning_rate,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
180,3,0.01,200,2,0.2,0.55,0.23529411764705882,0.8888888888888888,0.37209302325581395,0.27315979178514865
180,3,0.01,200,2,0.30000000000000004,0.7166666666666667,0.3,0.6666666666666666,0.41379310344827586,0.2970442628930023
180,3,0.01,200,2,0.4,0.8,0.36363636363636365,0.4444444444444444,0.4,0.28347736504678867
180,3,0.01,200,2,0.5,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
180,3,0.01,200,2,0.6,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
180,3,0.01,200,2,0.7000000000000001,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
180,3,0.01,200,2,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
180,3,0.01,200,2,0.9,0.85,1.0,0.0,0.0,0.0
180,3,0.01,200,3,0.1,0.26666666666666666,0.16981132075471697,1.0,0.2903225806451613,0.1526677313056691
180,3,0.01,200,3,0.2,0.6333333333333333,0.2903225806451613,1.0,0.45,0.4063070132231382
180,3,0.01,200,3,0.30000000000000004,0.75,0.3125,0.5555555555555556,0.4,0.2744302150984869
180,3,0.01,200,3,0.4,0.85,0.5,0.5555555555555556,0.5263157894736842,0.4383570037596047
180,3,0.01,200,3,0.5,0.9,0.7142857142857143,0.5555555555555556,0.625,0.5743214653879932
180,3,0.01,200,3,0.6,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
180,3,0.01,200,3,0.7000000000000001,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
180,3,0.01,200,3,0.8,0.8333333333333334,0.0,0.0,0.0,-0.054690281762322934
180,3,0.01,200,3,0.9,0.85,1.0,0.0,0.0,0.0
180,3,0.01,200,4,0.1,0.4745762711864407,0.225,1.0,0.3673469387755102,0.2924038303442689
180,3,0.01,200,4,0.2,0.7796610169491526,0.4,0.8888888888888888,0.5517241379310345,0.49286649198071775
180,3,0.01,200,4,0.30000000000000004,0.864406779661017,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.6183746480793059
180,3,0.01,200,4,0.4,0.8983050847457628,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6843393361600509
180,3,0.01,200,4,0.5,0.9322033898305084,0.7272727272727273,0.8888888888888888,0.8,0.7652187689215185
180,3,0.01,200,4,0.6,0.8983050847457628,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6066666666666667
180,3,0.01,200,4,0.7000000000000001,0.9152542372881356,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6370847738602424
180,3,0.01,200,4,0.8,0.8983050847457628,1.0,0.3333333333333333,0.5,0.5455447255899809
180,3,0.01,200,4,0.9,0.847457627118644,1.0,0.0,0.0,0.0
180,3,0.01,200,5,0.1,0.23728813559322035,0.1509433962264151,1.0,0.26229508196721313,0.13325932093055393
180,3,0.01,200,5,0.2,0.576271186440678,0.20689655172413793,0.75,0.32432432432432434,0.2047717881881517
