criterion,cvTest,splitter,max_depth,min_samples_split,min_samples_leaf,precision,recall,accuracy,f1,train_time,test_time
entropy,3,best,500,2,1,1.0,1.0,1.0,1.0,0.019795974095662434,0.0021663506825764975
entropy,3,random,500,2,1,1.0,1.0,1.0,1.0,0.006807645161946614,0.0013892650604248047
entropy,3,best,500,5,1,1.0,1.0,1.0,1.0,0.020188649495442707,0.0013721783955891926
entropy,3,random,500,5,1,0.9791666666666666,1.0,0.9893617021276596,0.9894736842105264,0.006792306900024414,0.001676479975382487
entropy,3,best,500,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.017451922098795574,0.0013056596120198567
entropy,3,random,500,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.005845944086710612,0.001331647237141927
entropy,3,best,500,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.017900546391805012,0.0012043317159016926
entropy,3,random,500,5,2,1.0,1.0,1.0,1.0,0.004764477411905925,0.0012556711832682292
gini,5,best,10,2,1,1.0,1.0,1.0,1.0,0.012999582290649413,0.0011937618255615234
gini,5,random,10,2,1,1.0,1.0,1.0,1.0,0.00417938232421875,0.00088348388671875
gini,5,best,10,5,1,1.0,1.0,1.0,1.0,0.01743154525756836,0.0014450550079345703
gini,5,random,10,5,1,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.018361234664916994,0.0076873779296875
gini,5,best,10,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.038174104690551755,0.0015035629272460937
gini,5,random,10,2,2,1.0,0.9361702127659575,0.9680851063829787,0.967032967032967,0.00870356559753418,0.0028548240661621094
gini,5,best,10,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.013852691650390625,0.0013106346130371093
gini,5,random,10,5,2,1.0,0.9361702127659575,0.9680851063829787,0.967032967032967,0.004859447479248047,0.0014152050018310547
gini,5,best,30,2,1,1.0,1.0,1.0,1.0,0.016440820693969727,0.0015600204467773437
gini,5,random,30,2,1,1.0,1.0,1.0,1.0,0.005994033813476562,0.0013160228729248047
gini,5,best,30,5,1,1.0,1.0,1.0,1.0,0.019592475891113282,0.0014127731323242188
gini,5,random,30,5,1,0.9591836734693877,1.0,0.9787234042553191,0.9791666666666666,0.006315469741821289,0.0016662120819091798
gini,5,best,30,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.03273673057556152,0.0017276763916015624
gini,5,random,30,2,2,1.0,0.9148936170212766,0.9574468085106383,0.9555555555555556,0.00605306625366211,0.0015073299407958984
gini,5,best,30,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.019130420684814454,0.0014754772186279298
gini,5,random,30,5,2,0.9782608695652174,0.9574468085106383,0.9680851063829787,0.967741935483871,0.005526590347290039,0.0012835979461669922
gini,5,best,50,2,1,1.0,1.0,1.0,1.0,0.032696771621704104,0.0030729293823242186
