pca_n_components,n_neighbors,metric,weights,accuracy,precision,recall,f1,mcc,preparationTime
215,9,euclidean,uniform,0.8561581920903955,0.8,0.06666666666666667,0.11272727272727275,0.1394529274518665,0.609977013795987
167,9,euclidean,distance,0.8795480225988701,1.0,0.2,0.32545454545454544,0.40992183059159687,0.6099770572742503
191,9,euclidean,distance,0.8795480225988701,1.0,0.2,0.32545454545454544,0.40992183059159687,0.6099771520334509
215,9,euclidean,distance,0.8795480225988701,1.0,0.2,0.32545454545454544,0.40992183059159687,0.6099771963478289
167,11,euclidean,uniform,0.8528248587570623,0.8,0.04444444444444444,0.08,0.11302658230880074,0.6099775236889643
191,11,euclidean,uniform,0.8528248587570623,0.8,0.04444444444444444,0.08,0.11302658230880074,0.609977574555184
215,11,euclidean,uniform,0.859491525423729,0.8,0.08888888888888888,0.13999999999999999,0.16026799923271812,0.6099776184515108
167,11,euclidean,distance,0.8762146892655368,1.0,0.17777777777777776,0.2927272727272727,0.3834954854485311,0.6099776647157238
191,11,euclidean,distance,0.8762146892655368,1.0,0.17777777777777776,0.2927272727272727,0.3834954854485311,0.6099777105618734
215,11,euclidean,distance,0.8828813559322034,1.0,0.22222222222222224,0.3527272727272727,0.4307369023724485,0.609977755157191
167,15,euclidean,uniform,0.862824858757062,1.0,0.08888888888888888,0.13999999999999999,0.1712060555851827,0.6099778010033406
191,15,euclidean,uniform,0.862824858757062,1.0,0.08888888888888888,0.13999999999999999,0.1712060555851827,0.6099778458762518
215,15,euclidean,uniform,0.862824858757062,1.0,0.08888888888888888,0.13999999999999999,0.1712060555851827,0.6099778910267566
167,15,euclidean,distance,0.8828813559322034,1.0,0.22222222222222224,0.3527272727272727,0.4307369023724485,0.6099779358963218
191,15,euclidean,distance,0.8828813559322034,1.0,0.22222222222222224,0.3527272727272727,0.4307369023724485,0.6099779810468265
215,15,euclidean,distance,0.8828813559322034,1.0,0.22222222222222224,0.3527272727272727,0.4307369023724485,0.609978026337789
167,20,euclidean,uniform,0.8494915254237287,1.0,0.0,0.0,0.0,0.6099780710702304
191,20,euclidean,uniform,0.8494915254237287,1.0,0.0,0.0,0.0,0.609978104933109
215,20,euclidean,uniform,0.8494915254237287,1.0,0.0,0.0,0.0,0.6099781390735812
167,20,euclidean,distance,0.8695480225988701,1.0,0.13333333333333336,0.21272727272727274,0.2595308467872658,0.6099781729364597
191,20,euclidean,distance,0.8695480225988701,1.0,0.13333333333333336,0.21272727272727274,0.2595308467872658,0.609978217809371
215,20,euclidean,distance,0.8695480225988701,1.0,0.13333333333333336,0.21272727272727274,0.2595308467872658,0.6099782625418124
