pca__n_components,svm__C,svm__kernel,fold,threshold,accuracy,precision,recall,f1,mcc
150,0.01,sigmoid,5,0.2,0.7833333333333333,0.35714285714285715,0.5555555555555556,0.43478260869565216,0.32003683870283267
150,0.01,sigmoid,5,0.30000000000000004,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
150,0.01,sigmoid,5,0.4,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
150,0.01,sigmoid,5,0.5,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
150,0.01,sigmoid,5,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
150,0.01,sigmoid,5,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
150,0.01,sigmoid,5,0.8,0.85,1.0,0.0,0.0,0.0
150,0.01,sigmoid,5,0.9,0.85,1.0,0.0,0.0,0.0
150,0.1,linear,1,0.1,0.16393442622950818,0.16393442622950818,1.0,0.28169014084507044,0.0
150,0.1,linear,1,0.2,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.1,linear,1,0.30000000000000004,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.1,linear,1,0.4,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.1,linear,1,0.5,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.1,linear,1,0.6,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.1,linear,1,0.7000000000000001,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.1,linear,1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.1,linear,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.1,linear,2,0.1,0.2833333333333333,0.18867924528301888,1.0,0.31746031746031744,0.16252721107440024
150,0.1,linear,2,0.2,0.8166666666666667,0.3333333333333333,0.1,0.15384615384615385,0.10259783520851541
150,0.1,linear,2,0.30000000000000004,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.1,linear,2,0.4,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.1,linear,2,0.5,0.8333333333333334,1.0,0.0,0.0,0.0
