criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,preparationTime
entropy,50,2,2,sqrt,0.7999999999999999,0.8711111111111111,0.711111111111111,0.7753968253968253,0.22730536333337012
entropy,50,5,2,sqrt,0.7333333333333333,0.7833333333333333,0.6444444444444444,0.6962292609351433,0.22730540333335134
entropy,50,10,2,sqrt,0.8444444444444444,0.9027777777777779,0.7999999999999999,0.8339122315592904,0.22730543999997382
entropy,50,2,5,sqrt,0.6888888888888889,0.6917748917748918,0.6888888888888888,0.6833333333333333,0.22730547777787757
entropy,50,5,5,sqrt,0.7555555555555555,0.7837662337662337,0.7333333333333332,0.7461764705882354,0.2273055166667392
entropy,50,10,5,sqrt,0.7555555555555555,0.7828282828282828,0.7555555555555555,0.7562698412698412,0.2273055522222421
entropy,50,2,10,sqrt,0.8333333333333334,0.7890909090909093,0.9555555555555555,0.858421052631579,0.22730558999998418
entropy,50,5,10,sqrt,0.7,0.7306060606060606,0.7333333333333332,0.7149373433583961,0.22730562666676835
entropy,50,10,10,sqrt,0.6555555555555556,0.741025641025641,0.5555555555555556,0.516017316017316,0.22730566222227128
entropy,50,2,1,log2,0.7444444444444444,0.7983116883116883,0.6666666666666666,0.7154621848739495,0.22730570000001332
entropy,50,5,1,log2,0.6444444444444445,0.6633766233766234,0.5777777777777777,0.6039068825910932,0.2273057366666358
entropy,50,10,1,log2,0.6555555555555557,0.7116666666666667,0.5777777777777778,0.6314138286893706,0.22730577444453956
entropy,50,2,2,log2,0.6777777777777778,0.7044444444444443,0.6888888888888889,0.680859010270775,0.22730581111116205
entropy,50,5,2,log2,0.6,0.6854545454545455,0.5777777777777777,0.5269172932330827,0.22730585000002368
entropy,50,10,2,log2,0.7,0.7716666666666667,0.5555555555555556,0.6250694609827737,0.22730588444440702
entropy,50,2,5,log2,0.5555555555555556,0.78,0.3333333333333333,0.3458646616541353,0.22730592000007163
entropy,50,5,5,log2,0.6333333333333333,0.7945054945054946,0.42222222222222217,0.47181818181818186,0.22730595555557456
entropy,50,10,5,log2,0.6333333333333333,0.6258547008547009,0.6888888888888889,0.6105763517528223,0.22730599111107747
entropy,50,2,10,log2,0.6333333333333334,0.8642857142857142,0.37777777777777777,0.4161764705882353,0.22730603444441738
entropy,50,5,10,log2,0.5111111111111111,0.6799999999999999,0.28888888888888886,0.2699248120300752,0.22730607222232113
entropy,50,10,10,log2,0.5333333333333334,0.7216399286987522,0.5111111111111111,0.3917948717948717,0.22730610888894362
entropy,100,2,1,None,0.8666666666666668,0.9027777777777779,0.8444444444444444,0.8621475256769374,0.2273061466666857
entropy,100,5,1,None,0.8222222222222223,0.8572222222222223,0.7777777777777778,0.8102511179910561,0.22730618333330818
entropy,100,10,1,None,0.8444444444444444,0.8941919191919192,0.8,0.8313538748832867,0.22730622111121193
entropy,100,2,2,None,0.8444444444444444,0.8636363636363636,0.8222222222222222,0.8388235294117647,0.22730625555559528
entropy,100,5,2,None,0.8444444444444444,0.8656204906204907,0.8222222222222222,0.8384967320261438,0.22730629555557647
entropy,100,10,2,None,0.8333333333333334,0.8441919191919192,0.8222222222222222,0.8296732026143792,0.22730633222219895
entropy,100,2,5,None,0.8444444444444444,0.875,0.8,0.8352941176470587,0.2273063711112223
entropy,100,5,5,None,0.8666666666666666,0.9,0.8222222222222222,0.8588235294117647,0.2273064033333665
entropy,100,10,5,None,0.8555555555555557,0.8883333333333333,0.8222222222222222,0.850748194014448,0.22730643999998898
entropy,100,2,10,None,0.8222222222222222,0.7803030303030303,0.9111111111111111,0.837142857142857,0.22730647666677314
entropy,100,5,10,None,0.8333333333333334,0.8174242424242424,0.8666666666666668,0.8380392156862746,0.22730651555563477
entropy,100,10,10,None,0.8333333333333334,0.8174242424242424,0.8666666666666668,0.8380392156862746,0.22730655333337685
entropy,100,2,1,sqrt,0.6777777777777778,0.7447619047619047,0.5555555555555556,0.6268922305764411,0.22730658999999934
